XML_ID;NAME;ID;PROP_PET_BIRTHDAY;PROP_PET_CATEGORY;PROP_PET_SEX;PROP_USER_ID;PROP_PET_BREED;PROP_PET_BREED_OTHER;PROP_PET_PHOTO
11209315;Йода;11209315;01.09.2014;10672;10890412;2750263;10962973;;/upload/iblock/bad/bad4fcf9d61f18ba8a48b8866e84db17.jpg
11209369;Том;11209369;30.10.2017;10672;10890412;2751532;10962985;;/upload/iblock/4a2/4a2ae8375d60480847f45cc20b229493.jpg
11209834;ЭЛИС ( Алиса);11209834;22.04.2017;10687;10890418;2412575;;шипперке;
11210467;Пуся;11210467;27.09.2005;10672;10890418;40626;10963036;;
11210503;Шуша;11210503;10.01.2014;10666;10890418;40626;10962940;;
11211289;Альбус;11211289;29.02.2016;10672;10890412;2603329;10962961;;/upload/iblock/e0b/e0b52a52632203549632bdb591ce10f8.jpg
11211472;Мася;11211472;04.07.2016;10672;10890418;368479;10962973;;/upload/iblock/aef/aefa2fd4b9dd2e62cdb314e961236404.jpg
11211505;Кроха;11211505;08.06.2005;10672;10890418;368479;10962973;;
11211943;Мила ;11211943;01.10.2016;10687;10890418;2724778;10963336;;/upload/iblock/0e5/0e57841bcc4f759a140d22caac6f0665.jpg
11212165;Масяня;11212165;01.08.2010;10672;10890418;99455;10962985;;/upload/iblock/a3a/a3a2ebbee843f697f9a6acf24f85b977.jpg
11212207;Кэткин;11212207;01.05.2017;10672;10890418;2619973;10962976;;/upload/iblock/997/9974d818feebfd486df16070677b5da0.jpg
11212222;Сэмик;11212222;14.12.2015;10672;10890412;99455;10963051;;/upload/iblock/9b3/9b3dae4e15f6af2b3a7eba5ce694b1e7.jpg
11212222;Сэмик;11212222;14.12.2015;10672;10890412;99455;10963051;;/upload/iblock/f12/f121de5efedd56d72fb7f7b1a45596e7.jpg
11212651;Варя;11212651;17.11.2013;10672;10890418;1955954;10962994;;/upload/iblock/13d/13d28f97ad28ff3cba2460d9cd1cb89c.jpg
11212792;Брунгильда;11212792;06.05.2017;10687;10890418;536813;;Петербургская орхидея;/upload/iblock/92f/92f5a226cf5f9e7bc8fe0311898275e8.jpg
11212855;Мартин;11212855;14.05.2017;10672;10890412;2167374;10962952;;/upload/iblock/a78/a78db1c5bcb664f35c4c91fba1850d60.jpg
11213503;Габриэла ;11213503;;10687;10890418;2365533;10963114;;
11213557;Бастилия;11213557;09.05.2016;10687;10890418;1781988;10963114;;/upload/iblock/616/6160dcab3e746b4b85096ee711250a02.jpg
11213647;Линда;11213647;15.03.2017;10687;10890418;1781988;10963288;;/upload/iblock/6c5/6c5bf4bd88200793f88b0993483b61a9.jpg
11213698;Виски;11213698;12.06.2017;10672;10890412;2116144;10963000;;/upload/iblock/607/607429a898de6c27ccc8a6aa7c03e64b.jpg
